"filename", "language", "Python", "Markdown", "YAML", "C++", "CUDA C++", "XML", "JSON", "comment", "blank", "total"
"d:\project\python\JoJoGAN\e4e\editings\latent_editor.py", "Python", 34, 0, 0, 0, 0, 0, 0, 4, 8, 46
"d:\project\python\JoJoGAN\e4e\editings\sefa.py", "Python", 35, 0, 0, 0, 0, 0, 0, 1, 11, 47
"d:\project\python\JoJoGAN\e4e\environment\e4e_env.yaml", "YAML", 0, 0, 72, 0, 0, 0, 0, 0, 2, 74
"d:\project\python\JoJoGAN\e4e\metrics\LEC.py", "Python", 81, 0, 0, 0, 0, 0, 0, 27, 27, 135
"d:\project\python\JoJoGAN\e4e\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\python\JoJoGAN\e4e\models\discriminator.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"d:\project\python\JoJoGAN\e4e\models\encoders\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\python\JoJoGAN\e4e\models\encoders\helpers.py", "Python", 99, 0, 0, 0, 0, 0, 0, 19, 23, 141
"d:\project\python\JoJoGAN\e4e\models\encoders\model_irse.py", "Python", 58, 0, 0, 0, 0, 0, 0, 9, 18, 85
"d:\project\python\JoJoGAN\e4e\models\encoders\psp_encoders.py", "Python", 173, 0, 0, 0, 0, 0, 0, 1, 27, 201
"d:\project\python\JoJoGAN\e4e\models\latent_codes_pool.py", "Python", 33, 0, 0, 0, 0, 0, 0, 17, 6, 56
"d:\project\python\JoJoGAN\e4e\models\psp.py", "Python", 82, 0, 0, 0, 0, 0, 0, 3, 15, 100
"d:\project\python\JoJoGAN\e4e\models\stylegan2\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\python\JoJoGAN\e4e\models\stylegan2\model.py", "Python", 497, 0, 0, 0, 0, 0, 0, 3, 179, 679
"d:\project\python\JoJoGAN\e4e\models\stylegan2\op\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\python\JoJoGAN\e4e\models\stylegan2\op\fused_act.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 25, 86
"d:\project\python\JoJoGAN\e4e\models\stylegan2\op\fused_bias_act.cpp", "C++", 0, 0, 0, 15, 0, 0, 0, 0, 6, 21
"d:\project\python\JoJoGAN\e4e\models\stylegan2\op\fused_bias_act_kernel.cu", "CUDA C++", 0, 0, 0, 0, 71, 0, 0, 5, 23, 99
"d:\project\python\JoJoGAN\e4e\models\stylegan2\op\upfirdn2d.cpp", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"d:\project\python\JoJoGAN\e4e\models\stylegan2\op\upfirdn2d.py", "Python", 145, 0, 0, 0, 0, 0, 0, 2, 38, 185
"d:\project\python\JoJoGAN\e4e\models\stylegan2\op\upfirdn2d_kernel.cu", "CUDA C++", 0, 0, 0, 0, 208, 0, 0, 5, 59, 272
"d:\project\python\JoJoGAN\e4e\notebooks\inference_playground.ipynb", "JSON", 0, 0, 0, 0, 0, 0, 588, 0, 0, 588
"d:\project\python\JoJoGAN\e4e\options\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\python\JoJoGAN\e4e\options\train_options.py", "Python", 66, 0, 0, 0, 0, 0, 0, 4, 15, 85
"d:\project\python\JoJoGAN\e4e\scripts\calc_losses_on_images.py", "Python", 72, 0, 0, 0, 0, 0, 0, 0, 16, 88
"d:\project\python\JoJoGAN\e4e\scripts\inference.py", "Python", 106, 0, 0, 0, 0, 0, 0, 1, 27, 134
"d:\project\python\JoJoGAN\e4e\scripts\train.py", "Python", 66, 0, 0, 0, 0, 0, 0, 3, 20, 89
"d:\project\python\JoJoGAN\e4e\training\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\python\JoJoGAN\e4e\training\coach.py", "Python", 359, 0, 0, 0, 0, 0, 0, 15, 64, 438
"d:\project\python\JoJoGAN\e4e\training\ranger.py", "Python", 84, 0, 0, 0, 0, 0, 0, 41, 39, 164
"d:\project\python\JoJoGAN\e4e\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\python\JoJoGAN\e4e\utils\alignment.py", "Python", 82, 0, 0, 0, 0, 0, 0, 15, 19, 116
"d:\project\python\JoJoGAN\e4e\utils\common.py", "Python", 43, 0, 0, 0, 0, 0, 0, 2, 11, 56
"d:\project\python\JoJoGAN\e4e\utils\data_utils.py", "Python", 16, 0, 0, 0, 0, 0, 0, 4, 6, 26
"d:\project\python\JoJoGAN\e4e\utils\model_utils.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 9, 36
"d:\project\python\JoJoGAN\e4e\utils\train_utils.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\project\python\JoJoGAN\e4e_projection.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"d:\project\python\JoJoGAN\model.py", "Python", 496, 0, 0, 0, 0, 0, 0, 3, 172, 671
"d:\project\python\JoJoGAN\op\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\python\JoJoGAN\op\conv2d_gradfix.py", "Python", 182, 0, 0, 0, 0, 0, 0, 0, 46, 228
"d:\project\python\JoJoGAN\op\fused_act.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 35, 128
"d:\project\python\JoJoGAN\op\fused_act_cpu.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 12, 42
"d:\project\python\JoJoGAN\op\fused_bias_act.cpp", "C++", 0, 0, 0, 15, 0, 0, 0, 0, 6, 21
"d:\project\python\JoJoGAN\op\fused_bias_act_kernel.cu", "CUDA C++", 0, 0, 0, 0, 71, 0, 0, 5, 23, 99
"d:\project\python\JoJoGAN\op\upfirdn2d.cpp", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"d:\project\python\JoJoGAN\op\upfirdn2d.py", "Python", 145, 0, 0, 0, 0, 0, 0, 2, 41, 188
"d:\project\python\JoJoGAN\op\upfirdn2d_cpu.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 15, 61
"d:\project\python\JoJoGAN\op\upfirdn2d_kernel.cu", "CUDA C++", 0, 0, 0, 0, 208, 0, 0, 5, 59, 272
"d:\project\python\JoJoGAN\predict.py", "Python", 160, 0, 0, 0, 0, 0, 0, 11, 40, 211
"d:\project\python\JoJoGAN\stylize.ipynb", "JSON", 0, 0, 0, 0, 0, 0, 628, 0, 0, 628
"d:\project\python\JoJoGAN\util.py", "Python", 167, 0, 0, 0, 0, 0, 0, 17, 32, 216
"Total", "-", 4002, 160, 93, 64, 558, 2533, 1216, 250, 1372, 10248
